지점,지점명,일시,기온(°C)
108,서울,2018-08-23 00:01,30.6
108,서울,2018-08-23 00:02,30.6
108,서울,2018-08-23 00:03,30.6
108,서울,2018-08-23 00:04,30.6
108,서울,2018-08-23 00:05,30.6
108,서울,2018-08-23 00:06,30.6
108,서울,2018-08-23 00:07,30.6
108,서울,2018-08-23 00:08,30.6
108,서울,2018-08-23 00:09,30.6
108,서울,2018-08-23 00:10,30.6
108,서울,2018-08-23 00:11,30.6
108,서울,2018-08-23 00:12,30.6
108,서울,2018-08-23 00:13,30.6
108,서울,2018-08-23 00:14,30.5
108,서울,2018-08-23 00:15,30.6
108,서울,2018-08-23 00:16,30.5
108,서울,2018-08-23 00:17,30.5
108,서울,2018-08-23 00:18,30.5
108,서울,2018-08-23 00:19,30.5
108,서울,2018-08-23 00:20,30.5
108,서울,2018-08-23 00:21,30.5
108,서울,2018-08-23 00:22,30.5
108,서울,2018-08-23 00:23,30.5
108,서울,2018-08-23 00:24,30.5
108,서울,2018-08-23 00:25,30.4
108,서울,2018-08-23 00:26,30.4
108,서울,2018-08-23 00:27,30.4
108,서울,2018-08-23 00:28,30.4
108,서울,2018-08-23 00:29,30.4
108,서울,2018-08-23 00:30,30.4
108,서울,2018-08-23 00:31,30.4
108,서울,2018-08-23 00:32,30.4
108,서울,2018-08-23 00:33,30.3
108,서울,2018-08-23 00:34,30.3
108,서울,2018-08-23 00:35,30.3
108,서울,2018-08-23 00:36,30.3
108,서울,2018-08-23 00:37,30.3
108,서울,2018-08-23 00:38,30.3
108,서울,2018-08-23 00:39,30.3
108,서울,2018-08-23 00:40,30.3
108,서울,2018-08-23 00:41,30.3
108,서울,2018-08-23 00:42,30.3
108,서울,2018-08-23 00:43,30.3
108,서울,2018-08-23 00:44,30.2
108,서울,2018-08-23 00:45,30.2
108,서울,2018-08-23 00:46,30.2
108,서울,2018-08-23 00:47,30.2
108,서울,2018-08-23 00:48,30.2
108,서울,2018-08-23 00:49,30.2
108,서울,2018-08-23 00:50,30.2
108,서울,2018-08-23 00:51,30.2
108,서울,2018-08-23 00:52,30.2
108,서울,2018-08-23 00:53,30.2
108,서울,2018-08-23 00:54,30.2
108,서울,2018-08-23 00:55,30.2
108,서울,2018-08-23 00:56,30.2
108,서울,2018-08-23 00:57,30.1
